m,n,m/n,nClass,meanAll,avgSTDAll,entropyClass,Q75,Q25,Q75-Q25,ChiClass,avgChiAll,medChiAll,stdChiAll,minChiAll,maxChiAll,avgPearCorrClass,avgPearCorrAll,avgKendCorrClass,avgKendCorrAll,avgSpeaCorrClass,avgSpeaCorrAll,avgCovClass,avgCovAll,avgKLNormAll,avgKLUnifAll,avgKLLogiAll,avgKLExpoAll,avgKLChiAll,avgKLRaylAll,avgKLParetAll,avgKLZipfAll,KLNormClass,KLUnifClass,KLLogiClass,KLExpoClass,KLChiClass,KLRaylClass,KLParetClass,KLZipfClass,radComClass,class
696,65,10.70769231,3,0.389392348,0.110901285,6.438516343,3,1,2,268.4675325,22.40535622,22.36103969,5.083612346,10.77338633,34.59472428,-0.023084258,0.722897543,-0.000257403,0.55417156,-0.004227832,0.705645042,0.007096526,0.008880994,0,0,48.55733306,2172.991328,0,0,-271.4120223,641.8832748,-295.6808562,574.9532716,-451.8440412,-104.4117332,51.92709402,2138.122557,-408.1310199,71.71715467,0.106800766,0.359109731
696,65,10.70769231,3,0.387937301,0.116175402,6.438516343,3,1,2,268.4675325,24.64195591,26.14915227,9.887356705,3.773027555,41.18465248,0.005161952,0.621641301,0.002589259,0.457279646,-0.001439349,0.609175788,0.01008301,0.008966242,0,0,49.46616324,2074.460939,0,0,-248.0835793,741.6437249,-270.2107896,668.1162312,-426.0343903,-86.6563672,60.65301722,2100.856239,-375.5030688,165.7979271,0.107758621,0.304513458
696,65,10.70769231,3,0.471923488,0.125308106,6.438516343,3,1,2,268.4675325,24.36121438,25.11472467,8.032665662,6.508859425,42.94659053,-0.015989866,0.592596764,-0.007906497,0.449969334,-0.014487158,0.594195357,0.00752566,0.009438791,0,0,121.6944302,2164.32487,0,0,-236.4231224,803.5212303,-235.1645445,802.3649802,-467.2808024,-64.28912296,93.54829763,2084.874297,-430.7312072,69.99796395,0.111111111,0.33757764
696,65,10.70769231,3,0.424998473,0.123667725,6.435629175,3,1,2,277.8461538,26.43485205,25.63943747,7.238144012,5.501716437,46.04165706,0.021178202,0.532676844,0.036348609,0.377245912,0.042168346,0.510737476,0.012139313,0.008200611,0,0,71.16403569,2156.41481,0,0,-254.4574065,789.0213139,-267.0781093,693.2036167,-441.7387808,-35.95706181,30.54040365,1976.33061,-382.0941826,230.6529085,0.110632184,0.339233954
696,65,10.70769231,3,0.383503464,0.144847165,6.440051758,2,1,1,263.5294118,38.69958096,37.51486976,8.456083847,16.67985518,57.77497908,-0.068862066,0.761097902,-0.018417322,0.558055235,-0.027617221,0.712902989,0.000889606,0.01606773,0,0,15.31069064,1972.653051,0,0,-284.699526,574.5489236,-276.4348501,609.5254901,-446.7882455,-119.1938768,19.32736723,2019.158629,-386.2903878,75.11014454,0.111590038,0.350931677
696,65,10.70769231,3,0.45761642,0.109974186,6.437042634,3,1,2,273.2387097,19.40396724,18.54454725,8.492203526,6.453818453,37.08929684,0.065576526,0.670479837,0.048904184,0.496892617,0.058595134,0.647999338,0.01559855,0.008244645,0,0,86.90474628,2111.089835,0,0,-288.3676456,676.7530418,-248.2192249,769.4737059,-480.7166234,-97.49632061,62.34952862,2045.846668,-435.5077824,52.20134432,0.105842912,0.459937888
696,65,10.70769231,3,0.341485415,0.088256548,6.438516343,3,1,2,268.4675325,16.57595877,15.85448667,4.203425142,7.126238712,27.48619417,-0.039073695,0.563747638,-0.011939307,0.375857611,-0.019443299,0.497800221,0.006812042,0.004231615,0,0,-0.926663677,2069.323046,0,0,-262.8050223,710.1475628,-239.5179723,833.7483767,-420.5062362,-83.06230819,24.04475364,2138.270307,-370.3205043,146.7261408,0.116858238,0.350496894
696,65,10.70769231,3,0.490967242,0.127475488,6.437042634,3,1,2,273.2387097,23.36481348,23.75226609,4.457254242,11.77475732,30.42536067,-0.068757936,0.753053641,-0.025583534,0.571913144,-0.038136795,0.721159207,0.001959982,0.01230457,0,0,105.1343642,2068.571299,0,0,-294.5477118,604.0195562,-275.8105853,711.2186536,-476.796741,-43.28535036,97.1897183,2014.848728,-410.3788426,193.220834,0.107758621,0.376625259
696,65,10.70769231,3,0.566416652,0.101733893,6.438516343,3,1,2,268.4675325,13.17399864,13.80682855,3.826949617,5.574438082,20.33560538,0.032014649,0.794253926,0.025349608,0.606000308,0.028293476,0.761140758,0.012147109,0.008124605,0,0,196.5552021,2096.518701,0,0,-252.387319,764.5252176,-246.6616793,686.5557937,-519.9616797,-104.0218604,208.8093594,2124.952475,-477.3122679,4.428788536,0.105842912,0.297681159
696,65,10.70769231,3,0.453565658,0.120214199,6.438516343,3,1,2,268.4675325,23.27028515,23.18653659,6.700636223,9.238138568,41.03805444,-0.039318081,0.725789496,-0.002792029,0.582863767,-0.007330321,0.742883491,0.005436624,0.010643072,0,0,88.05357976,2035.227262,0,0,-259.4525757,745.1331389,-305.9358981,595.9088006,-456.4231587,-68.79225882,75.67222645,2035.176788,-420.5726108,120.4837875,0.111111111,0.322070393
